Title,Author,Genre,KobissID,Availability
Fundamentals of Wavelets,"Goswami, Jaideva",tech,90531,yes
Data Smart,"Foreman, John",tech,69366,yes
God Created the Integers,"Hawking, Stephen",tech,23201,yes
Superfreakonomics,"Dubner, Stephen",science,96565,yes
Orientalism,"Said, Edward",nonfiction,11428,yes
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,38617,yes
Integration of the Indian States,"Menon, V P",nonfiction,26797,yes
"Drunkard's Walk, The","Mlodinow, Leonard",science,87431,yes
Image Processing & Mathematical Morphology,"Shih, Frank",tech,77958,yes
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,37037,yes
Data Scientists at Work,Sebastian Gutierrez,tech,87502,yes
Slaughterhouse Five,"Vonnegut, Kurt",fiction,93209,yes
Birth of a Theorem,"Villani, Cedric",science,24637,yes
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,24940,yes
"Age of Wrath, The","Eraly, Abraham",nonfiction,67413,yes
"Trial, The","Kafka, Frank",fiction,47901,yes
Statistical Decision Theory',"Pratt, John",tech,34245,yes
Data Mining Handbook,"Nisbet, Robert",tech,18687,yes
"New Machiavelli, The","Wells, H. G.",fiction,56456,yes
Physics & Philosophy,"Heisenberg, Werner",philosophy,95458,yes
Making Software,"Oram, Andy",tech,10634,yes
"Analysis, Vol I","Tao, Terence",tech,68424,yes
Machine Learning for Hackers,"Conway, Drew",tech,56531,yes
"Signal and the Noise, The","Silver, Nate",tech,93121,yes
Python for Data Analysis,"McKinney, Wes",tech,47464,yes
Introduction to Algorithms,"Cormen, Thomas",tech,74999,yes
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,25759,yes
"Outsider, The","Camus, Albert",fiction,17557,yes
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,67199,yes
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,39838,yes
"Wealth of Nations, The","Smith, Adam",science,68745,yes
"Pillars of the Earth, The","Follett, Ken",fiction,27633,yes
